Developer,Country,Year_of_Establishment
Nintendo,Japan,1889
Nintendo EAD Software Development Group No.2,Japan,2003
Playtronic,Brazil,1993
Nintendo R&D4,Japan,1983
Nintendo EAD,Japan,1989
Gradiente,Brazil,1964
ELORG,Russian Federation,1971
Mani,Hong Kong,1991
iQue,China,2002
Nintendo EAD Software Development Group No.1,Japan,2003
Nintendo EAD Software Development Group No.5,Japan,2003
Microsoft Game Studios,United States of America,2002
Good Science Studio,United States of America,Unknown
Rockstar North,United Kingdom of Great Britain and Northern Ireland,2002
Rockstar Games,United States of America,Unknown
Take-Two Interactive,United States of America,1993
Rockstar Toronto,Canada,2002
TransGaming Inc.,Unknown (ID: None),Unknown
Nintendo SPD Production Group No. 2,Japan,2003
Nintendo R&D1,Japan,1970
Rockstar Vienna,Austria,1993
Nintendo SPD Software Development Group,Japan,2003
Polyphony Digital,Japan,1998
Sony Computer Entertainment,Japan,1993
Raven Software,United States of America,1990
Sledgehammer Games,United States of America,2009
Infinity Ward,United States of America,2002
Activision,United States of America,1979
Game Freak,Japan,1989
Treyarch,United States of America,1996
Aspyr Media,United States of America,1996
Square Enix,Japan,2003
SPOV,Unknown (ID: None),Unknown
The Ant Farm,Unknown (ID: None),Unknown
Earbash Inc.,Unknown (ID: None),Unknown
Shadows in Darkness,Unknown (ID: None),Unknown
Vykarian,China,2006
PCB Productions,Unknown (ID: None),Unknown
SIDE UK Ltd,Unknown (ID: None),Unknown
87eleven,Unknown (ID: None),Unknown
Xloc. inc,Unknown (ID: None),Unknown
Blade Games World,China,Unknown
"Ignited Minds, LLC",Unknown (ID: None),Unknown
Hamagami/Carroll Inc.,Unknown (ID: None),Unknown
DMA Design,United Kingdom of Great Britain and Northern Ireland,1987
Game Arts,Japan,1985
Sora,Japan,2005
Monolith Soft,Japan,1999
HAL Laboratory,Japan,1980
Paon,Japan,1999
Intelligent Systems,Japan,1986
Bungie,United States of America,1991
"Sony Computer Entertainment, Inc. (SCEI)",Japan,1993
Cyberhead,Unknown (ID: None),Unknown
Brownie Brown,Japan,2000
Hyundai,Unknown (ID: None),Unknown
Neversoft Entertainment,United States of America,1994
Certain Affinity,Canada,Unknown
Ubisoft Paris,France,1992
Ubisoft Entertainment,France,1986
Nintendo SPD,Japan,2003
343 Industries,United States of America,2007
Square Product Development Division 1,Japan,1996
Square,Japan,1983
Microsoft Studios,Unknown (ID: None),2011
Ubisoft Milan,Italy,2003
Rare,United Kingdom of Great Britain and Northern Ireland,1985
4J Studios,United Kingdom of Great Britain and Northern Ireland,2005
Hudson Soft,Japan,1973
Bethesda Game Studios,United States of America,2001
Bethesda Softworks,United States of America,1986
EA Canada,Canada,1983
EA Sports,Canada,1991
Pi Studios,Unknown (ID: None),Unknown
NDCube,Japan,Unknown
CAProductions,Unknown (ID: None),Unknown
Electronic Arts,United States of America,1982
Square Electronic Arts,United States of America,1998
TransGaming Technologies,Unknown (ID: None),Unknown
Edge of Reality,United States of America,1998
The Sims Studio,United States of America,2006
Sega,Japan,2020
Sega Sports R&D,Unknown (ID: None),Unknown
Polyvox,Brazil,1967
ME-TA Elektronik Endüstri ve Ticaret,Unknown (ID: None),Unknown
Atari,United States of America,1972
Namco,Japan,1955
Rockstar Leeds,United Kingdom of Great Britain and Northern Ireland,2004
High Moon Studios,United States of America,2001
EA Vancouver,Canada,Unknown
EA Romania,Romania,Unknown
Universal Interactive Studios,United States of America,1994
Naughty Dog,United States of America,1984
Arkane Studios,France,1999
Exakt Entertainment,Unknown (ID: None),Unknown
EA Digital Illusions CE,Sweden,2006
EA Black Box,Canada,Unknown
Konami,Japan,1969
Nintendo EAD Software Development Group No.3,Japan,2003
Imagica DigitalScape,Unknown (ID: None),Unknown
Retro Studios,United States of America,1998
EA Los Angeles,United States of America,2000
Ubisoft Reflections,United Kingdom of Great Britain and Northern Ireland,1984
Ubisoft Bucharest,Romania,1992
Ubisoft Pune,India,2008
People Can Fly,Poland,2002
Epic Games,United States of America,1991
505 Games,Italy,2006
Majesco Entertainment,United States of America,1986
Pipeworks Software,United States of America,1999
Rockstar San Diego,United States of America,2002
Ubisoft Montreal,Canada,1997
Ubisoft Singapore,Singapore,2008
Ubisoft Annecy,France,1996
Ubisoft Kyiv,Ukraine,2008
Ubisoft Québec,Canada,2005
MacSoft Games,United States of America,1993
Gearbox Software,United States of America,1999
Westlake Interactive,Unknown (ID: None),Unknown
Disney Interactive Studios,United States of America,1988
Capcom,Japan,1979
Blizzard Entertainment,United States of America,1994
GT Interactive Software,United States of America,1993
Reflections Interactive,United Kingdom of Great Britain and Northern Ireland,1984
Gameloft,France,1999
Crawfish Interactive,Unknown (ID: None),Unknown
Infogrames,France,1983
Konami Computer Entertainment Japan,Japan,1996
Sonic Team,Japan,1990
Sega Technical Institute,United States of America,1990
Tec Toy,Brazil,1987
Kojima Productions,Japan,2005
Square Enix Product Development Division 4,Japan,2003
Media Molecule,United Kingdom of Great Britain and Northern Ireland,2006
Sourcenext,Unknown (ID: None),Unknown
Capcom Production Studio 3,Japan,1999
Virgin Interactive Entertainment,United Kingdom of Great Britain and Northern Ireland,1993
Capcom Planning Room 2,Japan,1988
LEVEL-5,Japan,1998
Square Enix Product Development Division 9,Japan,2003
Armor Project,Japan,1985
Bird Studio,Japan,1983
Namco Bandai Games,Japan,2006
ND Games,Russian Federation,Unknown
Feral Interactive,United Kingdom of Great Britain and Northern Ireland,1996
Robosoft Technologies,Unknown (ID: None),Unknown
WB Games,United States of America,1993
LucasArts,United States of America,1990
TT Fusion,United Kingdom of Great Britain and Northern Ireland,2017
Traveller's Tales,United Kingdom of Great Britain and Northern Ireland,1989
Office Create,Unknown (ID: None),Unknown
Taito,Japan,1953
Turn 10 Studios,United States of America,2001
Nintendo R&D2,Japan,1970
Capcom Production Studio 1,Japan,1999
Rocksteady Studios,United Kingdom of Great Britain and Northern Ireland,2004
DC Entertainment,Unknown (ID: None),Unknown
Eurocom Entertainment Software,United Kingdom of Great Britain and Northern Ireland,1988
Sony Interactive Entertainment,Japan,2016
Square Enix Business Division 1,Japan,2013
Square Enix Product Development Division 1,Japan,2003
Square USA,United States of America,1994
Eidos Interactive,United Kingdom of Great Britain and Northern Ireland,1996
Core Design,United Kingdom of Great Britain and Northern Ireland,1988
EA Orlando,United States of America,1994
Nintendo SPD Production Group No. 1,Japan,2003
Matrix Software,Japan,1994
Microsoft Corporation,Unknown (ID: None),Unknown
Harmonix Music Systems,United States of America,1995
RedOctane,Unknown (ID: None),Unknown
Lionhead Studios,United Kingdom of Great Britain and Northern Ireland,1996
Mercenary Technology,Unknown (ID: None),Unknown
K2,Japan,2000
Westwood Studios,United States of America,1985
GOG.com,Poland,2008
Crave Entertainment,United States of America,1997
Nokia,Finland,1914
Warzone 2100 Project,Unknown (ID: None),Unknown
Insomniac Games,United States of America,1994
Budcat Creations,United States of America,2016
Vicarious Visions,United States of America,1990
SCE Santa Monica Studio,United States of America,1999
Vivendi Universal Games,United States of America,2001
Radical Entertainment,Canada,1991
Gray Matter Interactive,United States of America,1994
Hypnos Entertainment,Unknown (ID: None),Unknown
Stormfront Studios,United States of America,1993
Bluepoint Games,United States of America,2006
Next Level Games,Canada,2002
Heartbeat,Japan,1992
Enix Corporation,Japan,1975
ArtePiazza,Japan,1989
Beenox,Canada,2000
2K Games,United States of America,2005
EA Redwood Shores,United States of America,1998
Ubisoft Montpellier,France,1994
Ubisoft Shanghai,China,1996
Ubisoft Sao Paulo,Brazil,2008
Triumph Studios,"Netherlands, Kingdom of the",1997
Stealth,Unknown (ID: None),Unknown
Sonic Retro,Unknown (ID: None),Unknown
Buena Vista Games,Unknown (ID: None),Unknown
Sony Computer Entertainment Europe,Unknown (ID: None),Unknown
Square Enix Business Division 3,Japan,2013
Grezzo,Japan,2006
1-UP Studio,Japan,2013
Playcast-media,Unknown (ID: None),Unknown
Warner Bros. Interactive Entertainment,Unknown (ID: None),Unknown
Konami Digital Entertainment,Japan,2006
Massive Entertainment,Sweden,1997
Ready At Dawn,United States of America,2003
SCE London Studio,United Kingdom of Great Britain and Northern Ireland,2002
Ultra Games,Unknown (ID: None),Unknown
Palcom,Unknown (ID: None),Unknown
US Gold Ltd,Unknown (ID: None),Unknown
Dimps,Japan,2000
Hasbro Interactive,United States of America,1995
SCE Cambridge Studio,United Kingdom of Great Britain and Northern Ireland,1997
St. GIGA,Unknown (ID: None),Unknown
Konami Computer Entertainment Tokyo,Japan,1995
Obsidian Entertainment,United States of America,2003
Bandai Namco Entertainment,Japan,2015
1C/Cenega,Unknown (ID: None),Unknown
Global Star Software,Canada,1992
Cat Daddy Games,United States of America,1996
Red Storm Entertainment,United States of America,1996
Ubisoft Toronto,Canada,2010
Digital Eclipse,United States of America,1992
Valve,United States of America,1996
Turtle Rock Studios,United States of America,2002
cdp.pl,Poland,1994
Spike Chunsoft,Japan,2012
CD Projekt RED,Poland,2002
D3T Limited,United Kingdom of Great Britain and Northern Ireland,2011
Saber Interactive,United States of America,2000
Ubisoft Chengdu,China,2008
Iron Galaxy Studios,United States of America,2008
Visual Concepts,United States of America,1988
2K Sports,United States of America,2005
Evolution Studios,United Kingdom of Great Britain and Northern Ireland,1999
Zindagi Games,Unknown (ID: None),Unknown
SCE San Diego Studio,United States of America,2001
Ubisoft Red Storm,Unknown (ID: None),Unknown
Nintendo EAD Software Development Group No.4,Japan,2003
AlphaDream,Japan,2000
Maxis,United States of America,1987
High Impact Games,United States of America,2004
Argonaut Games,Unknown (ID: None),Unknown
Ubisoft Sofia,Bulgaria,2006
Ubisoft North America,United States of America,2009
Zipper Interactive,United States of America,1995
Pax Softnica,Japan,1983
Nintendo of America,United States of America,1980
Nintendo of Europe,Germany,1990
Capcom Production Studio 4,Japan,1999
Pandemic Studios,United States of America,1998
Savage Entertainment,United States of America,1997
Ubisoft Barcelona,Spain,1998
Cooking Mama Limited,Unknown (ID: None),Unknown
THQ,United States of America,1989
Yuke's,Japan,1993
Fox Interactive,Unknown (ID: None),Unknown
Take Two Interactive,Unknown (ID: None),Unknown
Team Soho,United Kingdom of Great Britain and Northern Ireland,2001
Sony Computer Entertainment of America,United States of America,Unknown
Giant Interactive Entertainment,United Kingdom of Great Britain and Northern Ireland,2004
i5works,Unknown (ID: None),Unknown
Avalanche Software,United States of America,1995
KnowWonder,Unknown (ID: None),Unknown
Mattel Interactive,United States of America,1996
Irem,Japan,1974
Activision Publishing Minneapolis Inc.,Unknown (ID: None),Unknown
The Maniac Agenda,Unknown (ID: None),Unknown
CyberFront,Japan,1998
Demiurge Studios,United States of America,2002
Namco Hometek,United States of America,Unknown
Kojima Productions LA Studio,Unknown (ID: None),Unknown
DC Comics,Unknown (ID: None),Unknown
Acclaim Studios Salt Lake City,Unknown (ID: None),Unknown
Acclaim Entertainment,United States of America,1987
n-Space,United States of America,1994
The Collective,United States of America,1997
Gathering of Developers,United States of America,1998
3D Realms,United States of America,1987
neo Software,Austria,1993
War Drum Studios,United States of America,2007
Remedy Entertainment,Finland,1995
JAMDAT Mobile,United States of America,2000
Splash Damage,United Kingdom of Great Britain and Northern Ireland,2001
The Coalition,Canada,2015
Luxoflux,United States of America,Unknown
United Front Games,Canada,2007
Ruffian Games,United Kingdom of Great Britain and Northern Ireland,2008
Xbox Game Studios,United States of America,2019
Blur Studio,Unknown (ID: None),Unknown
Black Ops Entertainment,Unknown (ID: None),Unknown
MGM Interactive,United States of America,1994
Midway,United States of America,1988
Shiny Entertainment,United States of America,1993
Atari Europe,Unknown (ID: None),Unknown
MTV Games,United States of America,2006
Team Bondi,Australia,2003
EA Seattle,Unknown (ID: None),Unknown
QLOC,Poland,2009
BioWare,Canada,1995
"Electronic Arts, Inc.",Unknown (ID: None),Unknown
Pyramid,Unknown (ID: None),Unknown
Bandai,Japan,1950
"Atari, Inc.",United States of America,2003
Pax Softonica,Japan,1983
XPEC,"Taiwan, Province of China",2015
BioWare Edmonton,Canada,1995
Quantic Dream,France,1997
Ubi Pictures,France,1994
CD Projekt,Poland,1994
Volition,United States of America,1993
Nintendo R&D3,Japan,1970
Guerrilla Games,"Netherlands, Kingdom of the",2000
Junction Point Studios,Unknown (ID: None),Unknown
Spike,Japan,1989
BioWare Austin,United States of America,2006
Monolith Productions,United States of America,1994
Behaviour Interactive,Canada,1997
IO Interactive,Denmark,1998
Respawn Entertainment,United States of America,2010
Mass Media Inc,United States of America,1986
Sucker Punch Productions,United States of America,1997
Sumo Digital,United Kingdom of Great Britain and Northern Ireland,2003
Clap Hanz,Japan,Unknown
Spark Unlimited,United States of America,2002
Eidetic,United States of America,1993
989 Studios,United States of America,1998
Codemasters,United Kingdom of Great Britain and Northern Ireland,1986
Codemasters Southam,United Kingdom of Great Britain and Northern Ireland,1986
ZeniMax Media,United States of America,1999
Dice Multi Media Europe,"Netherlands, Kingdom of the",1998
Sold Out Sales & Marketing,United Kingdom of Great Britain and Northern Ireland,Unknown
NetherRealm Studios,United States of America,2010
2K Australia,Australia,2000
2K Boston,United States of America,2007
Zoe Mode,Unknown (ID: None),Unknown
Danger Close,United States of America,2010
Criterion Games,United Kingdom of Great Britain and Northern Ireland,1996
Camelot Software Planning,Japan,Unknown
Disney Interactive,United States of America,1988
Midway Games,United States of America,1958
Point of View,Unknown (ID: None),Unknown
Williams Entertainment,Unknown (ID: None),Unknown
SoftBank,Unknown (ID: None),Unknown
EA Sports BIG,Unknown (ID: None),2000
NuFX,United States of America,1990
Neoplay,Unknown (ID: None),Unknown
Toys for Bob,United States of America,1989
THQ Wireless,United States of America,Unknown
Universomo,Finland,2002
Krome Studios,Australia,1999
Artoon,Japan,1999
Deep Silver,Germany,2002
NOW Production,Japan,1986
Capcom Production Studio 2,Japan,Unknown
Exact Entertainment,Unknown (ID: None),Unknown
Nintendo Software Technology,United States of America,1998
Big Blue Box,United Kingdom of Great Britain and Northern Ireland,Unknown
DC Studios,Unknown (ID: None),Unknown
Slightly Mad Studios,United Kingdom of Great Britain and Northern Ireland,2009
tri-Ace,Japan,1995
Square Enix 1st Production Department,Japan,2010
Angel Studios,United States of America,1984
Destination Software,Unknown (ID: None),Unknown
Rebellion Developments,United Kingdom of Great Britain and Northern Ireland,1992
Ensemble Studios,United States of America,1995
Sanzaru Games,United States of America,2006
Syn Sophia,Japan,1995
Genius Sonority,Japan,2002
Hitmaker,Japan,2000
Acclaim Studios Cheltenham,United Kingdom of Great Britain and Northern Ireland,1984
Activision Value,United States of America,1979
Strangelite Limited,Unknown (ID: None),Unknown
Sega Studios,United States of America,1999
Headstrong Games,United Kingdom of Great Britain and Northern Ireland,2008
NEC Interchannel,Unknown (ID: None),Unknown
FarSight Studios,United States of America,Unknown
FromSoftware,Japan,1986
Black Rock Studios,United Kingdom of Great Britain and Northern Ireland,2006
Square Product Development Division 4,Japan,1996
Rockstar London,United Kingdom of Great Britain and Northern Ireland,2005
SingleTrac,Unknown (ID: None),1995
EA Games,Unknown (ID: None),Unknown
Brøderbund Software,United States of America,1980
Enix,Japan,Unknown
Cyan Worlds,United States of America,1987
Team Fusion,Unknown (ID: None),Unknown
Blue Sky,Unknown (ID: None),Unknown
Rainbow Studios,United States of America,1986
Jaleco Ltd.,Unknown (ID: None),Unknown
"TRY Co., Ltd.",Unknown (ID: None),Unknown
Bullfrog Productions,United Kingdom of Great Britain and Northern Ireland,1987
AKI Corporation,Japan,1995
Asmik Ace Entertainment,Japan,1985
Techland,Poland,1991
Sierra Entertainment,United States of America,1979
NVIDIA Lightspeed Studios,United States of America,2014
Heavy Iron Studios,United States of America,1999
Frontier Developments,United Kingdom of Great Britain and Northern Ireland,1994
Asobo Studio,France,2002
Amaze Entertainment,United States of America,1996
Nextech,Japan,1994
Tose,Japan,1979
BigPark,Unknown (ID: None),Unknown
BMG Interactive,United States of America,1994
Visual Science,United Kingdom of Great Britain and Northern Ireland,2003
ASC Games,Unknown (ID: None),Unknown
Syscom Entertainment,Unknown (ID: None),Unknown
NCSOFT,"Korea, Republic of",1997
ArenaNet,United States of America,2000
UEP Systems,Unknown (ID: None),Unknown
Sony Computer Entertainment America,Unknown (ID: None),Unknown
Idol Minds,United States of America,1997
Vanpool,Japan,1999
WB Games Montréal,Canada,2010
Human Head Studios,United States of America,1997
HB Studios,Canada,Unknown
Creatures Inc.,Japan,1989
Backbone Entertainment,United States of America,1992
New Entertainment R&D Dept.,Unknown (ID: None),Unknown
Land Ho!,Unknown (ID: None),Unknown
Ultra Software Corporation,Unknown (ID: None),Unknown
D3 Publisher,Unknown (ID: None),Unknown
Darkside Game Studios,Unknown (ID: None),Unknown
2K Marin,United States of America,2007
2K China,China,2006
Digital Extremes,Canada,1993
Factor 5,Germany,1987
5th Cell,United States of America,Unknown
The Pokémon Company,Japan,1998
Tradewest Inc,Unknown (ID: None),Unknown
Bemani,Japan,1997
Bizarre Creations,United Kingdom of Great Britain and Northern Ireland,1988
Black Box Games,Canada,1998
Koei,Japan,1978
Omega Force,Japan,1996
Visceral Games,United States of America,2009
Digital Scapes Studios,Canada,Unknown
Activision Blizzard,United States of America,2008
DotEmu,France,2007
Good-Feel,Japan,2005
Nintendo SPD Production Group No. 4,Japan,2003
Big Grub,Unknown (ID: None),Unknown
Gotham Games,Unknown (ID: None),Unknown
Full Fat Productions,Unknown (ID: None),Unknown
Helixe,Unknown (ID: None),Unknown
Square Enix Product Development Division 5,Japan,2003
Project Soul,Japan,Unknown
Sega Corporation,Japan,2000
Chunsoft,Japan,1984
"h.a.n.d., Inc.",Japan,1998
Ghost Games,Sweden,2011
Equinoxe,Unknown (ID: None),Unknown
Check Six Games,Unknown (ID: None),Unknown
Playground Games,United Kingdom of Great Britain and Northern Ireland,2010
Flagship,Japan,1997
"Natsume Co., Ltd.",Japan,1987
Jellyvision,United States of America,1989
Hothouse Creations,Unknown (ID: None),Unknown
ART,Japan,1995
Sony Interactive Studios America,United States of America,1995
Virtual Programming,United Kingdom of Great Britain and Northern Ireland,2000
Irrational Games,United States of America,1997
Sega AM2,Japan,1990
THQ Nordic,Austria,2016
Graphsim Entertainment,Unknown (ID: None),Unknown
NanaOn-Sha,Japan,Unknown
EA Bright Light,Unknown (ID: None),Unknown
Papaya Studio,United States of America,Unknown
High Voltage Software,United States of America,1993
Artificial Mind & Movement,Canada,2000
SCE Japan Studio,Japan,1993
Avalanche Studios,Sweden,2003
Square Product Development Division 3,Japan,1996
Jupiter Corporation,Japan,1992
Rockstar Vancouver,Canada,1998
Rockstar New England,United States of America,2008
Ambrella,Japan,1996
The Creative Assembly,United Kingdom of Great Britain and Northern Ireland,1987
Arsys Software,Unknown (ID: None),Unknown
"Sega Enterprises, Ltd.",Japan,1965
Atlus,Japan,1986
EA UK,Unknown (ID: None),Unknown
Hangar 13,United States of America,2014
Tango Gameworks,Japan,2010
The Workshop Entertainment,United States of America,2007
Climax Group,Unknown (ID: None),Unknown
Genuine Games,Unknown (ID: None),Unknown
Interscope,Unknown (ID: None),Unknown
